b4638,ttcC
b1376,uspF
b1377,ompN
b4427,micC
b1378,ydbK
b4529,ydbJ
b1379,hslJ
b1380,ldhA
b1381,ydbH
b1382,ynbE
b1383,ydbL
b1384,feaR
b1385,feaB
b1386,tynA
b1387,paaZ
b1388,paaA
b1389,paaB
b1390,paaC
b1391,paaD
b1392,paaE
b1393,paaF
b1394,paaG
b1395,paaH
b1396,paaI
b1397,paaJ
b1398,paaK
b1399,paaX
b1400,paaY
b4674,ynbG
b4492,ydbA
b1402,insD
b1403,insC
b1404,insI
b1406,ydbC
b1407,ydbD
b1408,ynbA
b1409,ynbB
b1410,ynbC
b1411,ynbD
b1412,azoR
b1413,hrpA
b1414,ydcF
b1415,aldA
b4493,gapC
b1418,cybB
b4597,rydC
b1419,ydcA
b4428,hokB
b1420,mokB
b4429,sokB
b1421,trg
b1422,ydcI
b1423,ydcJ
b1424,opgD
b1426,ydcH
b1427,rimL
b1428,ydcK
b1429,tehA
b1430,tehB
b1431,ydcL
b4578,insP
b1432,insQ
b1433,ydcO
b1434,ydcN
b1435,ydcP
b1436,yncJ
b4532,hicA
b1438,hicB
b1439,ydcR
b1440,ydcS
b1441,ydcT
b1442,ydcU
b1443,ydcV
b1444,prr
b4598,yncL
b1445,ydcX
b1446,ydcY
b1447,ydcZ
b1448,yncA
b1449,curA
b1450,mcbR
b1451,yncD
b1452,yncE
b1453,ansP
b1454,yncG
b1455,yncH
b1456,rhsE
b1457,ydcD
b1459,yncI
b1460,ydcC
b1461,pptA
b1462,yddH
b1463,nhoA
b1464,yddE
b1465,narV
b1466,narW
b1467,narY
b1468,narZ
b1469,narU
b1470,yddJ
b1471,yddK
b1472,yddL
b1473,yddG
b1474,fdnG
b1475,fdnH
b1476,fdnI
b1477,yddM
b1478,adhP
b1479,maeA
b1480,sra
b1481,bdm
b1482,osmC
b1483,ddpF
b1484,ddpD
b1485,ddpC
b1486,ddpB
b1487,ddpA
b1488,ddpX
b1489,dosP
b1490,dosC
b1491,yddW
b1492,gadC
b1493,gadB
b1494,pqqL
b1495,yddB
b1496,yddA
b1497,ydeM
b1498,ydeN
b1499,ydeO
b1500,safA
b1501,ydeP
b1502,ydeQ
b1503,ydeR
b1504,ydeS
b1505,ydeT
b1506,yneL
b1507,hipA
b1508,hipB
b4696,yneO
b1511,lsrK
b1512,lsrR
b1513,lsrA
b1514,lsrC
b1515,lsrD
b1516,lsrB
b1517,lsrF
b1518,lsrG
b1519,tam
b1520,yneE
b1521,uxaB
b1522,yneF
b1523,yneG
b1524,yneH
b1525,sad
b1526,yneJ
b1527,yneK
b1528,ydeA
b1529,marC
b1530,marR
b1531,marA
b1532,marB
b1533,eamA
b1534,ydeE
b4599,yneM
b4698,mgrR
b1535,ydeH
b1536,ydeI
b1537,ydeJ
b1538,dcp
b1539,ydfG
b1540,ydfH
b1541,ydfZ
b1542,ydfI
b4600,ydfJ
b1544,ydfK
b1545,pinQ
b1546,tfaQ
b1547,stfQ
b1548,nohQ
b4533,ynfO
b1549,ydfO
b1550,gnsB
b1551,ynfN
b1552,cspI
